id;price;year;mileage;fuel;status;internal_number;performance;vat;vin;colour;ac;esp;abs;doors;cubic_capacity;number_of_seats;emission_class;emission;gearbox
1;45635;23113;54023;HYBRID_PETROL;PENDING;5g7y4h8;50;0;vin;hex#54515;ON;1;1;5;25;12;EURO1;25;MANUAL_GEARBOX
2;54496;54869;42811;ELECTRIC;PENDING;9g7u4h8;35;0;vin2;hex#54815;OFF;1;1;2;25;1;EURO1;25;AUTOMATIC
3;99677;51611;51784;PETROL;DEACTIVATED;59ly4h8;21;0;vin9;hex#54815;ON;1;1;4;25;3;EURO2;25;NO_DETAILS
4;99041;63239;29643;HYBRID_PETROL;SOLD;yu7y4h8;55;0;vin8;hex#89515;AUTO;1;1;8;25;0;EURO3;25;AUTOMATIC
5;4244;43963;81390;ELECTRIC;PUBLISHED;tg7y4h8;50;1;vin7;hex#94515;OFF;1;1;6;25;4;EURO4;25;MANUAL_GEARBOX
6;4217;89850;25296;HYBRID_DIESEL;PUBLISHED;u97y4h8;50;0;vin8;hex#54515;AUTO;1;1;4;25;3;EURO1;25;NO_DETAILS
7;74898;96342;20577;HYBRID_DIESEL;PENDING;3p6y4h8;21;1;vin5;hex#34515;ON;0;1;4;25;4;EURO3;25;MANUAL_GEARBOX
8;26767;39951;46206;HYBRID_DIESEL;DEACTIVATED;967y4h8;50;0;vin1;hex#54515;ON;1;1;4;25;8;EURO1;25;AUTOMATIC
9;11315;5435;67829;HYBRID_PETROL;SOLD;5g8y4h8;35;1;vin5;hex#94515;AUTO;1;1;6;25;4;EURO4;25;NO_DETAILS
10;58320;56451;35042;HYBRID_PETROL;PENDING;9g7y9h8;50;1;vin4;hex#54515;ON;0;1;2;25;0;EURO1;25;MANUAL_GEARBOX
